category,order
forest,29
shrub,31
grass,30
urban,1
snow,2
sparse,3
corn_irr,6
fibercrop_irr,13
foddergrass_irr,14
fodderherb_irr,15
misccrop_irr,9
oilcrop_irr,7
othergrain_irr,12
palmfruit_irr,11
rice_irr,4
root_tuber_irr,8
sugarcrop_irr,10
wheat_irr,5
corn_rfd,18
fibercrop_rfd,25
foddergrass_rfd,26
fodderherb_rfd,27
misccrop_rfd,21
oilcrop_rfd,19
othergrain_rfd,24
palmfruit_rfd,23
rice_rfd,16
root_tuber_rfd,20
sugarcrop_rfd,22
wheat_rfd,17
otherarableland,28
biomass_grass_irr,32
biomass_grass_rfd,33
biomass_tree_irr,34
biomass_tree_rfd,35
