category,forest,shrub,grass,urban,snow,sparse,corn_irr,fibercrop_irr,foddergrass_irr,fodderherb_irr,misccrop_irr,oilcrop_irr,othergrain_irr,palmfruit_irr,rice_irr,root_tuber_irr,sugarcrop_irr,wheat_irr,corn_rfd,fibercrop_rfd,foddergrass_rfd,fodderherb_rfd,misccrop_rfd,oilcrop_rfd,othergrain_rfd,palmfruit_rfd,rice_rfd,root_tuber_rfd,sugarcrop_rfd,wheat_rfd,otherarableland,biomass_grass_irr,biomass_grass_rfd,biomass_tree_irr,biomass_tree_rfd
forest,0,1,2,27,29,28,25,20,19,18,22,21,23,15,26,16,17,24,13,8,7,6,10,9,11,3,14,4,5,12,30,31,32,33,34
shrub,5,0,4,1,3,2,28,23,22,21,25,24,26,18,29,19,20,27,16,11,10,9,13,12,14,6,17,7,8,15,30,31,32,33,34
grass,29,28,0,1,3,2,26,21,20,19,23,22,24,16,27,17,18,25,14,9,8,7,11,10,12,4,15,5,6,13,30,31,32,33,34
urban,28,3,2,0,29,1,26,21,20,19,23,22,24,16,27,17,18,25,14,9,8,7,11,10,12,4,15,5,6,13,30,31,32,33,34
snow,29,28,27,2,0,1,25,20,19,18,22,21,23,15,26,16,17,24,13,8,7,6,10,9,11,3,14,4,5,12,30,31,32,33,34
sparse,29,27,2,28,1,0,25,20,19,18,22,21,23,15,26,16,17,24,13,8,7,6,10,9,11,3,14,4,5,12,30,31,32,33,34
corn_irr,27,26,25,24,29,28,0,13,14,15,17,16,21,18,22,19,20,23,1,2,3,4,6,5,11,7,10,8,9,12,30,31,32,33,34
fibercrop_irr,27,26,25,24,29,28,13,0,22,23,17,18,16,21,14,19,20,15,2,1,11,12,6,7,5,10,3,8,9,4,30,31,32,33,34
foddergrass_irr,27,26,25,24,29,28,13,22,0,23,17,18,16,21,14,19,20,15,2,11,1,12,6,7,5,10,3,8,9,4,30,31,32,33,34
fodderherb_irr,27,26,25,24,29,28,13,22,23,0,17,18,16,21,14,19,20,15,2,11,12,1,6,7,5,10,3,8,9,4,30,31,32,33,34
misccrop_irr,27,26,25,24,29,28,16,13,14,15,0,21,20,19,17,22,23,18,5,2,3,4,1,10,9,8,6,11,12,7,30,31,32,33,34
oilcrop_irr,27,26,25,24,29,28,16,13,14,15,21,0,20,19,17,22,23,18,5,2,3,4,10,1,9,8,6,11,12,7,30,31,32,33,34
othergrain_irr,27,26,25,24,29,28,22,13,14,15,17,16,0,18,21,19,20,23,11,2,3,4,6,5,1,7,10,8,9,12,30,31,32,33,34
palmfruit_irr,27,26,25,24,29,28,16,13,14,15,21,19,20,0,17,22,23,18,5,2,3,4,10,8,9,1,6,11,12,7,30,31,32,33,34
rice_irr,27,26,25,24,29,28,22,13,14,15,17,16,21,18,0,19,20,23,11,2,3,4,6,5,10,7,1,8,9,12,30,31,32,33,34
root_tuber_irr,27,26,25,24,29,28,16,13,14,15,21,22,20,19,17,0,23,18,5,2,3,4,10,11,9,8,6,1,12,7,30,31,32,33,34
sugarcrop_irr,27,26,25,24,29,28,16,13,14,15,21,22,20,19,17,23,0,18,5,2,3,4,10,11,9,8,6,12,1,7,30,31,32,33,34
wheat_irr,27,26,25,24,29,28,23,13,14,15,17,16,21,18,22,19,20,0,12,2,3,4,6,5,11,7,10,8,9,1,30,31,32,33,34
corn_rfd,27,26,25,24,29,28,1,13,14,15,17,16,21,18,22,19,20,23,0,2,3,4,6,5,11,7,10,8,9,12,30,31,32,33,34
fibercrop_rfd,27,26,25,24,29,28,13,1,22,23,17,18,16,21,14,19,20,15,2,0,11,12,6,7,5,10,3,8,9,4,30,31,32,33,34
foddergrass_rfd,27,26,25,24,29,28,13,22,1,23,17,18,16,21,14,19,20,15,2,11,0,12,6,7,5,10,3,8,9,4,30,31,32,33,34
fodderherb_rfd,27,26,25,24,29,28,13,22,23,1,17,18,16,21,14,19,20,15,2,11,12,0,6,7,5,10,3,8,9,4,30,31,32,33,34
misccrop_rfd,27,26,25,24,29,28,16,13,14,15,1,21,20,19,17,22,23,18,5,2,3,4,0,10,9,8,6,11,12,7,30,31,32,33,34
oilcrop_rfd,27,26,25,24,29,28,16,13,14,15,21,1,20,19,17,22,23,18,5,2,3,4,10,0,9,8,6,11,12,7,30,31,32,33,34
othergrain_rfd,27,26,25,24,29,28,22,13,14,15,17,16,1,18,21,19,20,23,11,2,3,4,6,5,0,7,10,8,9,12,30,31,32,33,34
palmfruit_rfd,27,26,25,24,29,28,16,13,14,15,21,19,20,1,17,22,23,18,5,2,3,4,10,8,9,0,6,11,12,7,30,31,32,33,34
rice_rfd,27,26,25,24,29,28,22,13,14,15,17,16,21,18,1,19,20,23,11,2,3,4,6,5,10,7,0,8,9,12,30,31,32,33,34
root_tuber_rfd,27,26,25,24,29,28,16,13,14,15,21,22,20,19,17,1,23,18,5,2,3,4,10,11,9,8,6,0,12,7,30,31,32,33,34
sugarcrop_rfd,27,26,25,24,29,28,16,13,14,15,21,22,20,19,17,23,1,18,5,2,3,4,10,11,9,8,6,12,0,7,30,31,32,33,34
wheat_rfd,27,26,25,24,29,28,23,13,14,15,17,16,21,18,22,19,20,1,12,2,3,4,6,5,11,7,10,8,9,0,30,31,32,33,34
otherarableland,28,27,26,25,30,29,24,14,15,16,18,17,22,19,23,20,21,2,13,3,4,5,7,6,12,8,11,9,10,1,0,31,32,33,34
biomass_grass_irr,29,30,2,31,32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,0,1,33,34
biomass_grass_rfd,29,30,2,31,32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1,0,33,34
biomass_tree_irr,2,29,30,31,32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,33,34,0,1
biomass_tree_rfd,2,29,30,31,32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,33,34,1,0
