OBJECTID,gridcode,pkey,longitude,latitude
1,22260,22260,-37.7500000,83.7500000
2,22312,22312,-37.2500000,83.7500000
3,22362,22362,-36.7500000,83.7500000
4,22412,22412,-36.2500000,83.7500000
5,22460,22460,-35.7500000,83.7500000
6,22506,22506,-35.2500000,83.7500000
7,22545,22545,-34.7500000,83.7500000
8,22580,22580,-34.2500000,83.7500000
9,22615,22615,-33.7500000,83.7500000
10,22651,22651,-33.2500000,83.7500000
11,22686,22686,-32.7500000,83.7500000
12,22720,22720,-32.2500000,83.7500000
13,22752,22752,-31.7500000,83.7500000
14,22786,22786,-31.2500000,83.7500000
15,22818,22818,-30.7500000,83.7500000
16,22850,22850,-30.2500000,83.7500000
17,22882,22882,-29.7500000,83.7500000
18,22916,22916,-29.2500000,83.7500000
19,22950,22950,-28.7500000,83.7500000
20,13656,13656,-72.2500000,83.2500000
21,13842,13842,-71.7500000,83.2500000
22,14231,14231,-70.7500000,83.2500000
23,14440,14440,-70.2500000,83.2500000
24,14646,14646,-69.7500000,83.2500000
25,20815,20815,-46.7500000,83.2500000
26,20908,20908,-46.2500000,83.2500000
27,21000,21000,-45.7500000,83.2500000
28,21093,21093,-45.2500000,83.2500000
29,21185,21185,-44.7500000,83.2500000
30,21276,21276,-44.2500000,83.2500000
31,21366,21366,-43.7500000,83.2500000
32,21457,21457,-43.2500000,83.2500000
33,21544,21544,-42.7500000,83.2500000
34,21630,21630,-42.2500000,83.2500000
35,21712,21712,-41.7500000,83.2500000
36,21795,21795,-41.2500000,83.2500000
37,21875,21875,-40.7500000,83.2500000
38,21949,21949,-40.2500000,83.2500000
39,22021,22021,-39.7500000,83.2500000
40,22087,22087,-39.2500000,83.2500000
41,22148,22148,-38.7500000,83.2500000
42,22204,22204,-38.2500000,83.2500000
43,22259,22259,-37.7500000,83.2500000
44,22311,22311,-37.2500000,83.2500000
45,22361,22361,-36.7500000,83.2500000
46,22411,22411,-36.2500000,83.2500000
47,22459,22459,-35.7500000,83.2500000
48,22505,22505,-35.2500000,83.2500000
49,22544,22544,-34.7500000,83.2500000
50,22579,22579,-34.2500000,83.2500000
51,22614,22614,-33.7500000,83.2500000
52,22650,22650,-33.2500000,83.2500000
53,22685,22685,-32.7500000,83.2500000
54,22719,22719,-32.2500000,83.2500000
55,22751,22751,-31.7500000,83.2500000
56,22785,22785,-31.2500000,83.2500000
57,22817,22817,-30.7500000,83.2500000
58,22849,22849,-30.2500000,83.2500000
59,22881,22881,-29.7500000,83.2500000
60,22915,22915,-29.2500000,83.2500000
61,22949,22949,-28.7500000,83.2500000
62,22982,22982,-28.2500000,83.2500000
63,23013,23013,-27.7500000,83.2500000
64,23044,23044,-27.2500000,83.2500000
65,23074,23074,-26.7500000,83.2500000
66,23104,23104,-26.2500000,83.2500000
67,23135,23135,-25.7500000,83.2500000
68,23169,23169,-25.2500000,83.2500000
69,23200,23200,-24.7500000,83.2500000
70,11052,11052,-82.2500000,82.7500000
71,11152,11152,-81.7500000,82.7500000
72,11257,11257,-81.2500000,82.7500000
73,11353,11353,-80.7500000,82.7500000
74,11451,11451,-80.2500000,82.7500000
75,11547,11547,-79.7500000,82.7500000
76,11647,11647,-79.2500000,82.7500000
77,11750,11750,-78.7500000,82.7500000
