name,country
Arctic Ocean Islands,Greenland
Northwest Territories,Canada
Siberia-North Coast,Russian Federation
Siberia-West Coast,Russian Federation
Kara Sea Coast,Russian Federation
Lena,Russian Federation
Pacific and Arctic Coast,United States
Scandinavia-North Coast,Norway
Russia-Barents Sea Coast,Russian Federation
Mackenzie,Canada
Iceland,Iceland
Sweden,Sweden
Finland,Finland
Northern Dvina,Russian Federation
Hudson Bay Coast,Canada
Scotland,United Kingdom
Neva,Russian Federation
Volga,Russian Federation
Atlantic Ocean Seaboard,Canada
Baltic Sea Coast,Latvia
Denmark-Germany Coast,Denmark
Narva,Russian Federation
Saskatchewan-Nelson,Canada
Ireland,Ireland
Daugava,Belarus
England and Wales,United Kingdom
Fraser,Canada
Ems-Weser,Germany
Oder,Poland
Wisla,Poland
Elbe,Germany
Rhine,Germany
Poland Coast,Poland
Churchill,Canada
Neman,Lithuania
Scheldt,Belgium
Russia-South East Coast,Russian Federation
Ural,Russian Federation
Dnieper,Ukraine
St Lawrence,Canada
France-West Coast,France
Gobi Interior,China
Amur,Russian Federation
Loire,France
Caspian Sea Coast,Kazakhstan
Seine,France
Black Sea-North Coast,Ukraine
Yenisey,Russian Federation
Dniester,Ukraine
Italy-East Coast,Italy
Japan,Japan
Caspian Sea-East Coast,Turkmenistan
Don,Russian Federation
Danube,Romania
Adriatic Sea-Greece-Black Sea Coast,Greece
Ob,Russian Federation
Po,Italy
Amu Darya,Uzbekistan
Italy-West Coast,Italy
Spain-Portugal-Atlantic Coast,Spain
France-South Coast,France
Rhone,France
Mediterranean Sea Islands,Italy
Gironde,France
North and South Korea,"Korea, Republic of"
Bo Hai-Korean Bay-North Coast,China
Spain-South and East Coast,Spain
Lake Balkash,Kazakhstan
Tiber,Italy
Black Sea-South Coast,Turkey
Tagus,Spain
Caspian Sea-South West Coast,"Iran, Islamic Republic of"
Ebro,Spain
Douro,Spain
Mediterranean Sea-East Coast,Turkey
Syr Darya,Kazakhstan
Ziya He-Interior,China
China Coast,China
Huang He,China
Mediterranean South Coast,Libyan Arab Jamahiriya
Guadiana,Spain
Central Iran,"Iran, Islamic Republic of"
Guadalquivir,Spain
Tigris-Euphrates,Iraq
Tarim Interior,China
Africa-North West Coast,Morocco
Nile,Sudan
Persian Gulf Coast,"Iran, Islamic Republic of"
Indus,Pakistan
