# 
GCAM_region_ID,basin_id,water_type,water_sector,share
1,7,water consumption,Electricity,0.01604095530705552
1,7,water consumption,Livestock,0.001497940715997207
1,7,water consumption,Manufacturing,0.015275369191691424
1,7,water consumption,Mining,0.01587985353723248
1,7,water consumption,Municipal,0.016243222861162445
1,7,water withdrawals,Electricity,3.7951696252085825e-4
1,7,water withdrawals,Livestock,0.001497940715997207
1,7,water withdrawals,Manufacturing,0.015268744549342734
1,7,water withdrawals,Mining,0.01592428153501979
1,7,water withdrawals,Municipal,0.016241195352999126
1,23,water consumption,Electricity,0.010059119863837099
1,23,water consumption,Livestock,0.010313337208908901
1,23,water consumption,Manufacturing,9.599216441099028e-4
1,23,water consumption,Mining,0.010026765151982985
1,23,water consumption,Municipal,0.0017645963587487642
1,23,water withdrawals,Electricity,5.323070369168396e-6
1,23,water withdrawals,Livestock,0.010313337208908901
1,23,water withdrawals,Manufacturing,9.609392123202409e-4
1,23,water withdrawals,Mining,0.010026960362530833
1,23,water withdrawals,Municipal,0.0017642880189341216
1,27,water consumption,Electricity,9.673381996428671e-4
1,27,water consumption,Livestock,7.494830002696498e-4
1,27,water consumption,Manufacturing,3.1305161787245784e-5
1,27,water consumption,Mining,9.639672070405754e-4
1,27,water consumption,Municipal,2.8225122042557363e-5
1,27,water withdrawals,Livestock,7.494830002696498e-4
1,27,water withdrawals,Manufacturing,3.125719972145525e-5
1,27,water withdrawals,Mining,9.6414845408134e-4
1,27,water withdrawals,Municipal,2.825707279637832e-5
1,96,water consumption,Electricity,1.032055491514052e-4
1,96,water consumption,Livestock,2.255625992603597e-4
1,96,water consumption,Manufacturing,5.2691856473582005e-6
1,96,water consumption,Mining,1.4007648477308365e-4
1,96,water consumption,Municipal,1.011320474541801e-4
1,96,water withdrawals,Electricity,4.6471249254644735e-6
1,96,water withdrawals,Livestock,2.2556259926035974e-4
1,96,water withdrawals,Manufacturing,5.021236903045021e-6
1,96,water withdrawals,Mining,1.4088223484196637e-4
1,96,water withdrawals,Municipal,1.0115744863299749e-4
1,101,water consumption,Electricity,0.014349372641406339
1,101,water consumption,Livestock,0.002888226555074697
1,101,water consumption,Manufacturing,0.01375040487492658
1,101,water consumption,Mining,0.014301357235703534
1,101,water consumption,Municipal,0.01465170869148143
1,101,water withdrawals,Livestock,0.002888226555074697
1,101,water withdrawals,Manufacturing,0.013750531728066211
1,101,water withdrawals,Mining,0.014301152985716745
1,101,water withdrawals,Municipal,0.01465176293021154
1,217,water consumption,Electricity,0.12719086089203427
1,217,water consumption,Livestock,0.04856772875892382
1,217,water consumption,Manufacturing,0.0033251660955799277
1,217,water consumption,Mining,0.12926649626538017
1,217,water consumption,Municipal,0.12044855555306791
1,217,water withdrawals,Electricity,0.0018338135846498488
1,217,water withdrawals,Livestock,0.04856772875892382
1,217,water withdrawals,Manufacturing,0.0033265276046264675
1,217,water withdrawals,Mining,0.12926151551654907
1,217,water withdrawals,Municipal,0.12044868466118334
1,218,water consumption,Electricity,0.07361131041587275
1,218,water consumption,Livestock,0.11497335798117372
1,218,water consumption,Manufacturing,0.08017282928923335
1,218,water consumption,Mining,0.0733684478471148
1,218,water consumption,Municipal,0.07979720393329993
1,218,water withdrawals,Electricity,0.15766955556771906
1,218,water withdrawals,Livestock,0.11497335798117372
1,218,water withdrawals,Manufacturing,0.08017283432169409
1,218,water withdrawals,Mining,0.07336660356794586
1,218,water withdrawals,Municipal,0.07979759064656747
1,219,water consumption,Electricity,0.03274809007962793
1,219,water consumption,Livestock,0.018679659072384062
1,219,water consumption,Manufacturing,0.1659402939275735
1,219,water consumption,Mining,0.03264083334965049
1,219,water consumption,Municipal,0.028938978434284546
1,219,water withdrawals,Electricity,0.03578312596726539
1,219,water withdrawals,Livestock,0.018679659072384062
1,219,water withdrawals,Manufacturing,0.1659422556082404
1,219,water withdrawals,Mining,0.032639706304135846
1,219,water withdrawals,Municipal,0.02893916758014183
1,220,water consumption,Electricity,0.007839630360677738
1,220,water consumption,Livestock,0.010916204519659318
1,220,water consumption,Manufacturing,0.0013284546873280733
1,220,water consumption,Mining,0.007811146774550664
1,220,water consumption,Municipal,0.00428371242064196
1,220,water withdrawals,Electricity,0.006826784940220679
1,220,water withdrawals,Livestock,0.010916204519659318
1,220,water withdrawals,Manufacturing,0.0013279916299328317
1,220,water withdrawals,Mining,0.007810474387655596
1,220,water withdrawals,Municipal,0.004283523331167756
1,221,water consumption,Electricity,0.022753212343991892
1,221,water consumption,Livestock,0.010339994607003309
1,221,water consumption,Manufacturing,0.0016133006643823196
1,221,water consumption,Mining,0.022928863738716686
1,221,water consumption,Municipal,0.035541839103026676
1,221,water withdrawals,Electricity,0.0026342280448233154
1,221,water withdrawals,Livestock,0.010339994607003309
1,221,water withdrawals,Manufacturing,0.0016122773259268975
1,221,water withdrawals,Mining,0.02293581139218723
1,221,water withdrawals,Municipal,0.0355418450869726
1,222,water consumption,Electricity,0.011825303225696094
1,222,water consumption,Livestock,0.011180727931519193
1,222,water consumption,Manufacturing,0.0020425843185935613
1,222,water consumption,Mining,0.011772449515983028
1,222,water consumption,Municipal,0.01885552966498598
1,222,water withdrawals,Electricity,8.132151770136093e-4
1,222,water withdrawals,Livestock,0.011180727931519193
1,222,water withdrawals,Manufacturing,0.002045024259687661
1,222,water withdrawals,Mining,0.011784087649859462
1,222,water withdrawals,Municipal,0.018856131355595652
1,223,water consumption,Electricity,0.06987775939422333
1,223,water consumption,Livestock,0.22925054775826662
1,223,water consumption,Manufacturing,0.01577842144496568
1,223,water consumption,Mining,0.06966169269629158
1,223,water consumption,Municipal,0.04624030849771358
1,223,water withdrawals,Electricity,0.08064926883430225
1,223,water withdrawals,Livestock,0.22925054775826662
1,223,water withdrawals,Manufacturing,0.015776098694754572
1,223,water withdrawals,Mining,0.06963987839155626
1,223,water withdrawals,Municipal,0.04623996327442129
1,224,water consumption,Electricity,0.04944581661153184
1,224,water consumption,Livestock,0.16168634700345216
1,224,water consumption,Manufacturing,0.03638744632017122
1,224,water consumption,Mining,0.04926625527357841
1,224,water consumption,Municipal,0.03523624235792861
1,224,water withdrawals,Electricity,0.021382002672677723
1,224,water withdrawals,Livestock,0.16168634700345216
1,224,water withdrawals,Manufacturing,0.03638848539995868
1,224,water withdrawals,Mining,0.04927711810933288
1,224,water withdrawals,Municipal,0.03523677719771977
1,225,water consumption,Electricity,0.0630786424383879
1,225,water consumption,Livestock,0.09104321676873374
1,225,water consumption,Manufacturing,0.07074935568707857
1,225,water consumption,Mining,0.06288078587426554
1,225,water consumption,Municipal,0.08763259349069366
1,225,water withdrawals,Electricity,0.032861351786855175
1,225,water withdrawals,Livestock,0.09104321676873374
1,225,water withdrawals,Manufacturing,0.07074964640031293
1,225,water withdrawals,Mining,0.06286835312338669
1,225,water withdrawals,Municipal,0.08763330405724018
1,226,water consumption,Electricity,0.10372157689716223
1,226,water consumption,Livestock,0.0810241362234054
1,226,water consumption,Manufacturing,0.12674530151365107
1,226,water consumption,Mining,0.10338698915386273
1,226,water consumption,Municipal,0.14232446031174692
1,226,water withdrawals,Electricity,0.20663229748126624
1,226,water withdrawals,Livestock,0.0810241362234054
1,226,water withdrawals,Manufacturing,0.12674689877947956
1,226,water withdrawals,Mining,0.1033699305914071
1,226,water withdrawals,Municipal,0.1423243818139075
1,227,water consumption,Electricity,0.08462569932213151
1,227,water consumption,Livestock,0.03838255211777648
1,227,water consumption,Manufacturing,0.08281951024469167
1,227,water consumption,Mining,0.08431550044206933
1,227,water consumption,Municipal,0.06632377448912051
1,227,water withdrawals,Electricity,0.10516232473374945
1,227,water withdrawals,Livestock,0.03838255211777648
1,227,water withdrawals,Manufacturing,0.08281818929678163
1,227,water withdrawals,Mining,0.08431136350599439
1,227,water withdrawals,Municipal,0.0663245034581328
1,228,water consumption,Electricity,0.05925652090862697
1,228,water consumption,Livestock,0.06214454666531329
1,228,water consumption,Manufacturing,0.2073250979061186
1,228,water consumption,Mining,0.05905052242504025
1,228,water consumption,Municipal,0.0726885873489071
1,228,water withdrawals,Electricity,0.15770863366368318
1,228,water withdrawals,Livestock,0.06214454666531329
1,228,water withdrawals,Manufacturing,0.20732477954468595
1,228,water withdrawals,Mining,0.059058108185624965
1,228,water withdrawals,Municipal,0.07268832812489479
1,229,water consumption,Electricity,0.041210469946373035
1,229,water consumption,Livestock,0.04268669662548099
1,229,water consumption,Manufacturing,0.038881630843953074
1,229,water consumption,Mining,0.04106500301992851
1,229,water consumption,Municipal,0.0433772286604204
1,229,water withdrawals,Electricity,0.0013098080027134987
1,229,water withdrawals,Livestock,0.04268669662548099
1,229,water withdrawals,Manufacturing,0.038883454329800025
1,229,water withdrawals,Mining,0.0410660242069638
1,229,water withdrawals,Municipal,0.0433767607259684
1,230,water consumption,Electricity,0.011027503423554245
1,230,water consumption,Livestock,0.01533825674970446
1,230,water consumption,Manufacturing,0.029445759157922143
1,230,water consumption,Mining,0.010993744756545562
1,230,water consumption,Municipal,0.016227627285254183
1,230,water withdrawals,Electricity,0.07448813173141657
1,230,water withdrawals,Livestock,0.01533825674970446
1,230,water withdrawals,Manufacturing,0.029446374319653783
1,230,water withdrawals,Mining,0.010989273217461137
1,230,water withdrawals,Municipal,0.016227792788826932
1,231,water consumption,Electricity,0.016147962165567933
1,231,water consumption,Livestock,0.015473594309260676
1,231,water consumption,Manufacturing,0.003088982597739519
1,231,water consumption,Mining,0.016763992209940005
1,231,water consumption,Municipal,0.009197658329061295
1,231,water withdrawals,Electricity,1.3353619089797743e-4
1,231,water withdrawals,Livestock,0.015473594309260676
1,231,water withdrawals,Manufacturing,0.003089316004598449
1,231,water withdrawals,Mining,0.01676085584810417
1,231,water withdrawals,Municipal,0.009197573484903144
1,232,water consumption,Electricity,0.040483279465611935
1,232,water consumption,Livestock,0.0027580154182289436
1,232,water consumption,Manufacturing,0.02035052482638808
1,232,water consumption,Mining,0.04034955860845309
1,232,water consumption,Municipal,0.034072793259496414
1,232,water withdrawals,Electricity,0.009457321689222517
1,232,water withdrawals,Livestock,0.0027580154182289436
1,232,water withdrawals,Manufacturing,0.020350278138865155
1,232,water withdrawals,Mining,0.04034601043997017
