# 
GCAM_region_ID,GLU,water_type,water_sector,share
1,7,water consumption,Irrigation,1
1,7,water withdrawals,Irrigation,1
1,23,water consumption,Irrigation,1
1,23,water withdrawals,Irrigation,1
1,27,water consumption,Irrigation,1
1,27,water withdrawals,Irrigation,1
1,96,water consumption,Irrigation,1
1,96,water withdrawals,Irrigation,1
1,101,water consumption,Irrigation,1
1,101,water withdrawals,Irrigation,1
1,217,water consumption,Irrigation,1
1,217,water withdrawals,Irrigation,1
1,218,water consumption,Irrigation,1
1,218,water withdrawals,Irrigation,1
1,219,water consumption,Irrigation,1
1,219,water withdrawals,Irrigation,1
1,220,water consumption,Irrigation,1
1,220,water withdrawals,Irrigation,1
1,221,water consumption,Irrigation,1
1,221,water withdrawals,Irrigation,1
1,222,water consumption,Irrigation,1
1,222,water withdrawals,Irrigation,1
1,223,water consumption,Irrigation,1
1,223,water withdrawals,Irrigation,1
1,224,water consumption,Irrigation,1
1,224,water withdrawals,Irrigation,1
1,225,water consumption,Irrigation,1
1,225,water withdrawals,Irrigation,1
1,226,water consumption,Irrigation,1
1,226,water withdrawals,Irrigation,1
1,227,water consumption,Irrigation,1
1,227,water withdrawals,Irrigation,1
1,228,water consumption,Irrigation,1
1,228,water withdrawals,Irrigation,1
1,229,water consumption,Irrigation,1
1,229,water withdrawals,Irrigation,1
1,230,water consumption,Irrigation,1
1,230,water withdrawals,Irrigation,1
1,231,water consumption,Irrigation,1
1,231,water withdrawals,Irrigation,1
1,232,water consumption,Irrigation,1
1,232,water withdrawals,Irrigation,1
1,233,water consumption,Irrigation,1
1,233,water withdrawals,Irrigation,1
1,234,water consumption,Irrigation,1
1,234,water withdrawals,Irrigation,1
2,87,water consumption,Irrigation,1
2,87,water withdrawals,Irrigation,1
2,100,water consumption,Irrigation,1
2,100,water withdrawals,Irrigation,1
2,144,water consumption,Irrigation,1
2,144,water withdrawals,Irrigation,1
2,151,water consumption,Irrigation,1
2,151,water withdrawals,Irrigation,1
2,170,water consumption,Irrigation,1
2,170,water withdrawals,Irrigation,1
2,171,water consumption,Irrigation,1
2,171,water withdrawals,Irrigation,1
2,177,water consumption,Irrigation,1
2,177,water withdrawals,Irrigation,1
2,179,water consumption,Irrigation,1
2,179,water withdrawals,Irrigation,1
2,183,water consumption,Irrigation,1
2,183,water withdrawals,Irrigation,1
3,75,water consumption,Irrigation,1
3,75,water withdrawals,Irrigation,1
3,80,water consumption,Irrigation,1
3,80,water withdrawals,Irrigation,1
3,86,water consumption,Irrigation,1
3,86,water withdrawals,Irrigation,1
3,87,water consumption,Irrigation,1
3,87,water withdrawals,Irrigation,1
3,95,water consumption,Irrigation,1
3,95,water withdrawals,Irrigation,1
3,98,water consumption,Irrigation,1
3,98,water withdrawals,Irrigation,1
3,100,water consumption,Irrigation,1
3,100,water withdrawals,Irrigation,1
3,144,water consumption,Irrigation,1
3,144,water withdrawals,Irrigation,1
3,149,water consumption,Irrigation,1
3,149,water withdrawals,Irrigation,1
3,151,water consumption,Irrigation,1
3,151,water withdrawals,Irrigation,1
4,87,water consumption,Irrigation,1
4,87,water withdrawals,Irrigation,1
4,162,water consumption,Irrigation,1
4,162,water withdrawals,Irrigation,1
4,171,water consumption,Irrigation,1
4,171,water withdrawals,Irrigation,1
4,179,water consumption,Irrigation,1
4,179,water withdrawals,Irrigation,1
4,182,water consumption,Irrigation,1
4,182,water withdrawals,Irrigation,1
4,183,water consumption,Irrigation,1
4,183,water withdrawals,Irrigation,1
4,188,water consumption,Irrigation,1
4,188,water withdrawals,Irrigation,1
4,190,water consumption,Irrigation,1
4,190,water withdrawals,Irrigation,1
4,194,water consumption,Irrigation,1
4,194,water withdrawals,Irrigation,1
4,196,water consumption,Irrigation,1
4,196,water withdrawals,Irrigation,1
4,197,water consumption,Irrigation,1
4,197,water withdrawals,Irrigation,1
4,198,water consumption,Irrigation,1
4,198,water withdrawals,Irrigation,1
4,199,water consumption,Irrigation,1
4,199,water withdrawals,Irrigation,1
5,86,water consumption,Irrigation,1
5,86,water withdrawals,Irrigation,1
5,87,water consumption,Irrigation,1
5,87,water withdrawals,Irrigation,1
5,142,water consumption,Irrigation,1
5,142,water withdrawals,Irrigation,1
5,144,water consumption,Irrigation,1
5,144,water withdrawals,Irrigation,1
5,149,water consumption,Irrigation,1
5,149,water withdrawals,Irrigation,1
5,151,water consumption,Irrigation,1
5,151,water withdrawals,Irrigation,1
5,152,water consumption,Irrigation,1
5,152,water withdrawals,Irrigation,1
5,160,water consumption,Irrigation,1
5,160,water withdrawals,Irrigation,1
5,162,water consumption,Irrigation,1
5,162,water withdrawals,Irrigation,1
5,183,water consumption,Irrigation,1
5,183,water withdrawals,Irrigation,1
5,188,water consumption,Irrigation,1
5,188,water withdrawals,Irrigation,1
6,184,water consumption,Irrigation,1
6,184,water withdrawals,Irrigation,1
6,189,water consumption,Irrigation,1
6,189,water withdrawals,Irrigation,1
6,191,water consumption,Irrigation,1
6,191,water withdrawals,Irrigation,1
6,193,water consumption,Irrigation,1
6,193,water withdrawals,Irrigation,1
6,201,water consumption,Irrigation,1
6,201,water withdrawals,Irrigation,1
6,202,water consumption,Irrigation,1
6,202,water withdrawals,Irrigation,1
6,208,water consumption,Irrigation,1
6,208,water withdrawals,Irrigation,1
6,211,water consumption,Irrigation,1
6,211,water withdrawals,Irrigation,1
7,156,water consumption,Irrigation,1
