INPUT_TABLE,,,,
Variable ID,,,,
GrdRenewRsrcMaxNoFO,,,,
,,,,
region,renewresource,sub.renewable.resource,year.fillout,maxSubResource
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1975,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1990,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2005,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2010,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2015,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2020,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2025,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2030,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2035,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2040,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2045,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2050,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2055,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2060,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2065,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2070,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2075,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2080,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2085,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2090,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2095,231.75
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2100,231.75
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1975,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1990,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2005,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2010,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2015,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2020,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2025,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2030,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2035,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2040,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2045,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2050,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2055,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2060,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2065,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2070,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2075,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2080,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2085,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2090,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2095,37.466
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2100,37.466
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,1975,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,1990,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2005,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2010,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2015,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2020,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2025,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2030,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2035,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2040,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2045,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2050,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2055,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2060,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2065,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2070,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2075,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2080,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2085,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2090,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2095,35.37
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,2100,35.37
Africa_Eastern,Congo-water withdrawals,runoff,1975,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,1990,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2005,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2010,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2015,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2020,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2025,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2030,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2035,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2040,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2045,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2050,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2055,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2060,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2065,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2070,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2075,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2080,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2085,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2090,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2095,1121.346
Africa_Eastern,Congo-water withdrawals,runoff,2100,1121.346
Africa_Eastern,Lake Chad-water withdrawals,runoff,1975,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,1990,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2005,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2010,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2015,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2020,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2025,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2030,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2035,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2040,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2045,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2050,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2055,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2060,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2065,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2070,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2075,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2080,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2085,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2090,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2095,105.607
Africa_Eastern,Lake Chad-water withdrawals,runoff,2100,105.607
Africa_Eastern,Madasgacar-water withdrawals,runoff,1975,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,1990,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2005,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2010,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2015,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2020,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2025,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2030,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2035,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2040,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2045,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2050,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2055,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2060,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2065,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2070,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2075,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2080,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2085,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2090,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2095,466.962
Africa_Eastern,Madasgacar-water withdrawals,runoff,2100,466.962
Africa_Eastern,Nile-water withdrawals,runoff,1975,198.924
Africa_Eastern,Nile-water withdrawals,runoff,1990,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2005,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2010,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2015,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2020,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2025,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2030,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2035,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2040,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2045,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2050,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2055,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2060,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2065,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2070,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2075,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2080,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2085,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2090,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2095,198.924
Africa_Eastern,Nile-water withdrawals,runoff,2100,198.924
Africa_Eastern,Rift Valley-water withdrawals,runoff,1975,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,1990,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2005,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2010,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2015,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2020,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2025,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2030,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2035,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2040,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2045,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2050,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2055,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2060,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2065,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2070,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2075,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2080,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2085,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2090,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2095,116.089
Africa_Eastern,Rift Valley-water withdrawals,runoff,2100,116.089
