INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade1,0,1e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade2,0.0546666666666667,1.1358024691358e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade3,0.109333333333333,2.08641975308642e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade4,0.164,4.66666666666667e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade5,0.218666666666667,9.69135802469136e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade6,0.273333333333333,0.000179753086419753
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade7,0.328,0.000303333333333333
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade8,0.382666666666667,0.000475802469135803
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade9,0.437333333333333,0.000705308641975309
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade10,0.492,0.001
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade11,0.5428,0.145518638890731
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade12,0.5936,0.558793395730732
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade13,0.6444,1.21132250638146
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade14,0.6952,2.07360420670439
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade15,0.746,3.11613673256098
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade16,0.7968,4.30941831981268
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade17,0.8476,5.62394720432097
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade18,0.8984,7.03022162194732
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade19,0.9492,8.49873980855317
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade20,1,10
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade1,0,1e-05
